_id,idx,series,kode_wilayah,wilayah,tahun,triwulan,bulan,tanggal,nilai,target
191,190,Produksi Daging Ayam Ras Petelur menurut Provinsi_,31,DKI Jakarta,2003,,,,11480,
192,191,Produksi Daging Ayam Ras Petelur menurut Provinsi_,31,DKI Jakarta,2004,,,,9935,
193,192,Produksi Daging Ayam Ras Petelur menurut Provinsi_,31,DKI Jakarta,2005,,,,7286,
194,193,Produksi Daging Ayam Ras Petelur menurut Provinsi_,31,DKI Jakarta,2006,,,,11826,
195,194,Produksi Daging Ayam Ras Petelur menurut Provinsi_,31,DKI Jakarta,2007,,,,12848,
196,195,Produksi Daging Ayam Ras Petelur menurut Provinsi_,31,DKI Jakarta,2008,,,,12847,
197,196,Produksi Daging Ayam Ras Petelur menurut Provinsi_,31,DKI Jakarta,2009,,,,12800,
198,197,Produksi Daging Ayam Ras Petelur menurut Provinsi_,31,DKI Jakarta,2010,,,,13120,
199,198,Produksi Daging Ayam Ras Petelur menurut Provinsi_,31,DKI Jakarta,2011,,,,13646,
200,199,Produksi Daging Ayam Ras Petelur menurut Provinsi_,31,DKI Jakarta,2012,,,,4536,
201,200,Produksi Daging Ayam Ras Petelur menurut Provinsi_,31,DKI Jakarta,2013,,,,541,
202,201,Produksi Daging Ayam Ras Petelur menurut Provinsi_,31,DKI Jakarta,2014,,,,1337,
203,202,Produksi Daging Ayam Ras Petelur menurut Provinsi_,31,DKI Jakarta,2015,,,,1368,
204,203,Produksi Daging Ayam Ras Petelur menurut Provinsi_,31,DKI Jakarta,2016,,,,1436,
205,204,Produksi Daging Ayam Ras Petelur menurut Provinsi_,32,Jawa Barat,2000,,,,6655,
206,205,Produksi Daging Ayam Ras Petelur menurut Provinsi_,32,Jawa Barat,2001,,,,3963,
207,206,Produksi Daging Ayam Ras Petelur menurut Provinsi_,32,Jawa Barat,2002,,,,4597,
208,207,Produksi Daging Ayam Ras Petelur menurut Provinsi_,32,Jawa Barat,2003,,,,4521,
209,208,Produksi Daging Ayam Ras Petelur menurut Provinsi_,32,Jawa Barat,2004,,,,5203,
210,209,Produksi Daging Ayam Ras Petelur menurut Provinsi_,32,Jawa Barat,2005,,,,5443,
211,210,Produksi Daging Ayam Ras Petelur menurut Provinsi_,32,Jawa Barat,2006,,,,5541,
212,211,Produksi Daging Ayam Ras Petelur menurut Provinsi_,32,Jawa Barat,2007,,,,6136,
213,212,Produksi Daging Ayam Ras Petelur menurut Provinsi_,32,Jawa Barat,2008,,,,5515,
214,213,Produksi Daging Ayam Ras Petelur menurut Provinsi_,32,Jawa Barat,2009,,,,5569,
215,214,Produksi Daging Ayam Ras Petelur menurut Provinsi_,32,Jawa Barat,2010,,,,6023,
216,215,Produksi Daging Ayam Ras Petelur menurut Provinsi_,32,Jawa Barat,2011,,,,6404,
217,216,Produksi Daging Ayam Ras Petelur menurut Provinsi_,32,Jawa Barat,2012,,,,6585,
218,217,Produksi Daging Ayam Ras Petelur menurut Provinsi_,32,Jawa Barat,2013,,,,7512,
219,218,Produksi Daging Ayam Ras Petelur menurut Provinsi_,32,Jawa Barat,2014,,,,7453,
220,219,Produksi Daging Ayam Ras Petelur menurut Provinsi_,32,Jawa Barat,2015,,,,7524,
221,220,Produksi Daging Ayam Ras Petelur menurut Provinsi_,32,Jawa Barat,2016,,,,7857,
222,221,Produksi Daging Ayam Ras Petelur menurut Provinsi_,33,Jawa Tengah,2000,,,,1524,
223,222,Produksi Daging Ayam Ras Petelur menurut Provinsi_,33,Jawa Tengah,2001,,,,1392,
224,223,Produksi Daging Ayam Ras Petelur menurut Provinsi_,33,Jawa Tengah,2002,,,,1507,
225,224,Produksi Daging Ayam Ras Petelur menurut Provinsi_,33,Jawa Tengah,2003,,,,2269,
226,225,Produksi Daging Ayam Ras Petelur menurut Provinsi_,33,Jawa Tengah,2004,,,,1602,
227,226,Produksi Daging Ayam Ras Petelur menurut Provinsi_,33,Jawa Tengah,2005,,,,3357,
228,227,Produksi Daging Ayam Ras Petelur menurut Provinsi_,33,Jawa Tengah,2006,,,,9061,
